street,number,zip,city,lat,lng
Prins Bernhardstraat,36,2731BG,Benthuizen,52.07630191150424,4.542324727575409
Rodinweg,37,1328PW,Almere,52.36935453714237,5.2646368784066535
Jacques Dutilhweg,199,3065KA,Rotterdam,51.93038058545197,4.558655233995802
Woolthuisweg,8,8141RX,Heino,52.430852264489936,6.23068668744071
Hoornwerk,144,7201GX,Zutphen,52.13621111357318,6.1948772737563305
Zestienhovensekade,336,3043KZ,Rotterdam,51.93866802851086,4.438528017670232
Pontilijn,25,2728BN,Zoetermeer,52.076191321611205,4.517488713723448
Beeklaan,50B,2201BE,Noordwijk,52.22908358284968,4.443592597637386
Comeniusstraat,7471,1065CE,Amsterdam,52.35888166558888,4.823974746781184
J.J. Wernerstraat,11,1768AX,Barsingerhorn,52.78373318706409,4.863868699329442
Burgemeester van der Werffstraat,74,2581SM,'s-Gravenhage,52.092691923447184,4.269775559924359
Leusderweg,91A,3818AA,Amersfoort,52.14367197400004,5.380093865399381
Carmenlaan,217A,1183SK,Amstelveen,52.29923769261596,4.870712215593011
Vlotlaan,45A,2681RW,Monster,52.017345883713226,4.171467563724707
Duinrell,1S431,2242JP,Wassenaar,52.144568296498,4.3826879263148015
Vorrinklaan,10,3317KZ,Dordrecht,51.79119759033805,4.66917445175835
Vissershavenstraat,6,1976DB,IJmuiden,52.46008351098067,4.597508254147424
Krelis Louwenstraat,5C1,1055KA,Amsterdam,52.38316104738661,4.846184411833865
Aletta Jacobsstraat,107,1963CM,Heemskerk,52.51969802100584,4.684538570690712
Timmerwerf,90,1601LZ,Enkhuizen,52.70446220413292,5.296334457405028
Cloete,11,5688PB,Oirschot,51.509762939696486,5.315266634206399
P.A. van Meverstraat,15,1507XE,Zaandam,52.44768843156344,4.799765813250815
De Réaumurstraat,54,2562TZ,'s-Gravenhage,52.071276931882025,4.2790777138329545
Marskramer,41,6603JE,Wijchen,51.796045391961314,5.738582568239649
Hof van Kingma,38,7642DD,Wierden,52.35349869707507,6.588635132701933
Jan Th. Tooroplaan,3,6717KA,Ede,52.025258230050014,5.668235935681166
Groenestraat,25,4033CP,Lienden,51.952276155916365,5.513361484181795
Spoorwegstraat,119,6828AP,Arnhem,51.98534099227452,5.9167334799153934
Poelestraat,38g,9712KB,Groningen,53.21857339146703,6.570950348343908
Schoolstraat,6,9161BE,Hollum,53.43909933919972,5.639841781886452
S.O.J. Palmelaan,120,9728VC,Groningen,53.19063638116269,6.557421607419307
Bergmolen,37,5472RG,Loosbroek,51.67651296281986,5.511282344825045
Helena Nordheimland,3,1705LM,Heerhugowaard,52.64749344255104,4.820533766534794
Keesomstraat,32D,,Badhoevedorp,52.34025565831865,4.776797903829498
Tiber,10B,2491DH,'s-Gravenhage,52.06667363336714,4.393477732813665
van der Steenstraat,28,5768AK,Meijel,51.34175424954361,5.884223730044185
Ringovenlaan,60,4161BS,Heukelum,51.87088699863553,5.069196916582755
Spechtlaan,135,2261BC,Leidschendam,52.09826986759448,4.389993110702028
Keizersweg,33,7121GN,Aalten,51.91844030794727,6.585652291886284
Remalunet,37C,6221JE,Maastricht,50.84408770044746,5.703173048368428
Tollensstraat,128,2513GE,'s-Gravenhage,52.08110216742435,4.299952359392112
Geraniumstraat,25,7531ZT,Enschede,52.22921701830517,6.908720549681843
Pienemanstraat,23,1072KE,Amsterdam,52.34920676282457,4.889232761072933
Heemraadssingel,184L,3021DM,Rotterdam,51.91544909633619,4.45602427945745
Margrietstraat,65,6191XE,Beek,50.94131752203637,5.788390919858334
Gildelaar,20,4847HW,Teteringen,51.61001039407349,4.815385533612063
Rigtersplein,3,7622LK,Borne,52.30028730127265,6.755887931520034
Marktstraat,30,6074BS,Melick,51.15965344590517,6.015124305489892
Hoofdweg,99C,1058BA,Amsterdam,52.36231425019185,4.852896915482589
Oldenhof,3,9472PP,Zuidlaren,53.08065939054067,6.698221677140831
Binnenkamer,14,4691DG,Tholen,51.53332396398925,4.211099726499931
Grote Bickersstraat,267,1013KP,Amsterdam,52.385858314913335,4.889144333280704
Koningin Wilhelminakade,85,1975GE,IJmuiden,52.460729643934094,4.596183299503639
Eerste Nassaustraat,12,1052BD,Amsterdam,52.38283501719989,4.879866217079788
De Scharcamp,24,8501PT,Joure,52.96761098065678,5.807425020984084
Tolnegenweg,53C30,3776PV,Stroe,52.19300866929988,5.675856398013968
Borneolaan,140,1019KH,Amsterdam,52.37095771517927,4.936505550905109
Eykereind,101,5571EB,Bergeijk,51.32550864356217,5.380193540347102
Liesveld,85,3131CK,Vlaardingen,51.90970297649987,4.341398725878038
Stoofstraat,12,4693BB,Poortvliet,51.54303826490416,4.141704147858741
Gestelseweg,2C,5216VA,'s-Hertogenbosch,51.68446202118847,5.32820823007456
Dukaathof,2,5551VG,Valkenswaard,51.350391815626566,5.425788016703342
Nieuwburen,38,8442CT,Heerenveen,52.9609186689336,5.927504988202189
Musketiersveld,229,7327GT,Apeldoorn,52.18699209118833,6.001847501697828
De Paardengang,2G4,,Hilversum,52.22758137638259,5.179177721341898
Sportweg,67,9695EC,Bellingwolde,53.097436465294415,7.167600564521101
Grondmolen,18,4133EC,Vianen,51.98554857746985,5.077280392702694
Balthasar van der Polweg,547,2628AZ,Delft,51.99635567261045,4.373013573808127
Nicolaïstraat,8,8151BP,Lemelerveld,52.448566454380256,6.345534705535249
Vierambachtsstraat,86B,3023AS,Rotterdam,51.91635522585762,4.449114277075304
Kanunnik van Mulicomstraat,5,6525VK,Nijmegen,51.813570985007445,5.864763577483649
Jan Evertsenplaats,170,3012HW,Rotterdam,51.92052379047652,4.47613097172897
Molenweg,2,6071VZ,Swalmen,51.23779703813233,6.045479985349266
Westduynen,9,4506GR,Cadzand,51.372090090003546,3.3846331503174376
Zwolseweg,16,7142HE,Groenlo,52.02556077298566,6.630600304724347
Pannenhoefsebaan,24,4891ZB,Rijsbergen,51.513438380194366,4.679233327530056
J.A. Kalfflaan,13,1222NZ,Hilversum,52.23754784819658,5.176589803675225
Cornelis Jolstraat,63,2584EM,'s-Gravenhage,52.1034812314264,4.283665122888925
Brederodestraat,59H,1054MS,Amsterdam,52.36142572933974,4.865268806785739
Oude Stationsweg,35,4611BZ,Bergen op Zoom,51.49618737170995,4.294932336284608
Ringweg-Randenbroek,70C,3816CL,Amersfoort,52.14996493969865,5.407434509646171
Van de Spiegelstraat,3C,2518ES,'s-Gravenhage,52.0842495897505,4.296999479092914
Stinzenlaan,4,7392AE,Twello,52.240793293785856,6.120895434007845
Liesbosstraat,18A,4813BD,Breda,51.57742057533854,4.737492148786821
André van der Louwbrug,916,3011WM,Rotterdam,51.91847484614474,4.489443828951965
Oostendorperstraatweg,20T,,Elburg,52.44881566679669,5.86857484911814
Wilhelminastraat,30a,6881LJ,Velp,51.997918689426704,5.971252212218604
Telefoonweg,29,6871KZ,Renkum,51.98792544138268,5.746004402504873
Grutmolen,6,9712ML,Groningen,53.224878943822254,6.565790005264186
Frambozenstraat,13,2564XK,'s-Gravenhage,52.068611454043314,4.25667272654618
Bouwtelaan,35,9686VN,Beerta,53.16731492481455,7.0808425054849735
Campagnestraat,8,5811AR,Castenray,51.48968142509122,6.038959940668553
Europalaan,667,3526KS,Utrecht,52.0738961196187,5.106368854677063
De Klok,153,2231DT,Rijnsburg,52.18707522096908,4.444973807495132
Julianastraat,15ag,,Groningen,53.21013488968416,6.5016493658882775
Bolmanstraat,16,2496RE,'s-Gravenhage,52.04278541643622,4.368594048185908
Visserszijde,21,3211BP,Geervliet,51.86114978796601,4.25555610923794
Santpoorterstraat,59,2023DB,Haarlem,52.39370769762908,4.630062112677472
Korte Loef,30,6581JB,Malden,51.77544802922967,5.851927602462985
